,"PostId, Tag",Count
139,"Row(_1=69969866, _2='visual-studio-code')",1
140,"Row(_1=69969868, _2='None')",1
141,"Row(_1=69969869, _2='javascript')",1
142,"Row(_1=69969869, _2='react-native')",1
143,"Row(_1=69969871, _2='django')",1
144,"Row(_1=69969871, _2='django-models')",1
145,"Row(_1=69969871, _2='django-views')",1
146,"Row(_1=69969871, _2='django-admin')",1
147,"Row(_1=69969872, _2='None')",1
148,"Row(_1=69969873, _2='python')",1
149,"Row(_1=69969873, _2='c++')",1
150,"Row(_1=69969873, _2='python-3.8')",1
151,"Row(_1=69969873, _2='python-bindings')",1
152,"Row(_1=69969875, _2='None')",1
153,"Row(_1=69969876, _2='None')",1
154,"Row(_1=69969877, _2='ubuntu')",1
155,"Row(_1=69969877, _2='parsing')",1
156,"Row(_1=69969877, _2='bison')",1
157,"Row(_1=69969877, _2='yacc')",1
158,"Row(_1=69969879, _2='None')",1
159,"Row(_1=69969881, _2='python')",1
160,"Row(_1=69969881, _2='discord.py')",1
161,"Row(_1=69969882, _2='machine-learning')",1
162,"Row(_1=69969882, _2='neural-network')",1
163,"Row(_1=69969882, _2='conv-neural-network')",1
164,"Row(_1=69969882, _2='artificial-intelligence')",1
165,"Row(_1=69969882, _2='computer-science')",1
166,"Row(_1=69969884, _2='None')",1
167,"Row(_1=69969885, _2='git')",1
168,"Row(_1=69969885, _2='gitignore')",1
169,"Row(_1=69969886, _2='None')",1
170,"Row(_1=69969887, _2='git')",1
171,"Row(_1=69969888, _2='sql')",1
172,"Row(_1=69969888, _2='sql-server')",1
173,"Row(_1=69969888, _2='tsql')",1
174,"Row(_1=69969888, _2='hierarchy')",1
175,"Row(_1=69969888, _2='chaining')",1
176,"Row(_1=69969890, _2='teamcity')",1
177,"Row(_1=69969890, _2='teamcity-9.0')",1
178,"Row(_1=69969890, _2='teamcity-8.0')",1
179,"Row(_1=69969891, _2='None')",1
180,"Row(_1=69969892, _2='None')",1
181,"Row(_1=69969894, _2='None')",1
182,"Row(_1=69969896, _2='None')",1
183,"Row(_1=69969897, _2='gpgpu')",1
184,"Row(_1=69969897, _2='hlsl')",1
185,"Row(_1=69969897, _2='compute-shader')",1
186,"Row(_1=69969897, _2='directcompute')",1
187,"Row(_1=69969898, _2='None')",1
188,"Row(_1=69969899, _2='docker')",1
189,"Row(_1=69969899, _2='dockerfile')",1
190,"Row(_1=69969900, _2='binary')",1
191,"Row(_1=69969900, _2='integer')",1
192,"Row(_1=69969900, _2='numbers')",1
193,"Row(_1=69969900, _2='save')",1
194,"Row(_1=69969900, _2='extract')",1
195,"Row(_1=69969902, _2='None')",1
196,"Row(_1=69969903, _2='powerbi')",1
197,"Row(_1=69969903, _2='powerquery')",1
198,"Row(_1=69969904, _2='javascript')",1
199,"Row(_1=69969904, _2='amazon-web-services')",1
200,"Row(_1=69969904, _2='aws-api-gateway')",1
201,"Row(_1=69969904, _2='aws-sdk')",1
202,"Row(_1=69969905, _2='mysql')",1
203,"Row(_1=69969905, _2='node.js')",1
204,"Row(_1=69969905, _2='sequelize.js')",1
205,"Row(_1=69969905, _2='database-migration')",1
206,"Row(_1=69969906, _2='None')",1
207,"Row(_1=69969907, _2='python')",1
208,"Row(_1=69969907, _2='websocket')",1
209,"Row(_1=69969907, _2='client-server')",1
210,"Row(_1=69969908, _2='dataframe')",1
211,"Row(_1=69969908, _2='scala')",1
212,"Row(_1=69969908, _2='apache-spark')",1
213,"Row(_1=69969908, _2='transactions')",1
214,"Row(_1=69969908, _2='atomic')",1
215,"Row(_1=69969909, _2='None')",1
216,"Row(_1=69969910, _2='None')",1
217,"Row(_1=69969911, _2='None')",1
218,"Row(_1=69969912, _2='python')",1
219,"Row(_1=69969912, _2='typeerror')",1
220,"Row(_1=69969912, _2='word2vec')",1
221,"Row(_1=69969912, _2='sklearn-pandas')",1
222,"Row(_1=69969913, _2='python-3.x')",1
223,"Row(_1=69969914, _2='None')",1
224,"Row(_1=69969915, _2='None')",1
225,"Row(_1=69969917, _2='python')",1
226,"Row(_1=69969917, _2='theano')",1
227,"Row(_1=69969917, _2='neupy')",1
228,"Row(_1=69969918, _2='None')",1
229,"Row(_1=69969920, _2='java')",1
230,"Row(_1=69969920, _2='io')",1
231,"Row(_1=69969920, _2='set')",1
232,"Row(_1=69969920, _2='nio')",1
233,"Row(_1=69969921, _2='None')",1
234,"Row(_1=69969922, _2='None')",1
235,"Row(_1=69969923, _2='python')",1
236,"Row(_1=69969923, _2='tensorflow')",1
237,"Row(_1=69969923, _2='jupyter-notebook')",1
238,"Row(_1=69969923, _2='conda')",1
239,"Row(_1=69969923, _2='tensorflow-hub')",1
240,"Row(_1=69970238, _2='javascript')",1
241,"Row(_1=69970238, _2='reactjs')",1
242,"Row(_1=69970238, _2='react-query')",1
243,"Row(_1=69970239, _2='r')",1
244,"Row(_1=69970240, _2='sql')",1
245,"Row(_1=69970240, _2='database-design')",1
246,"Row(_1=69970242, _2='None')",1
247,"Row(_1=69970244, _2='None')",1
